known_rank,state,cytospace_nes,merscope_nes,cytospace_pred_rank,merscope_pred_rank
1,Temra,-1.1953546083916,0.84901169898581,9.0,16.0
2,CREM+ Tm,-1.92362500329779,-1.20207406093173,6.0,7.0
3,TNF+,0.871326242123019,0.862761539287284,11.0,17.0
4,AREG+ Tm,-2.46933250812481,-1.55952926864414,1.0,3.0
5,CCL5+ Tm,-1.96299305750064,-0.892699078694594,5.0,13.0
6,Tn,-2.22096325793096,-1.41099735125661,2.0,4.0
7,CCR6+ Th17,-2.02575508506252,-1.17885694857776,3.0,8.0
8,ADSL+ Tn,-1.75786477693697,-1.63134818629119,7.0,2.0
9,CXCR5+ Tfh,-2.01413657286246,-1.80569872087189,4.0,1.0
10,CAPG+CREM- Tm,0.886306319082742,1.08824233614605,12.0,19.0
11,IL26+ Th17,-1.39246979287531,-1.02251539148548,8.0,12.0
12,TIMP1+ Tm,0.891092771065872,-1.03296282100422,13.0,10.0
13,GZMK+ Tem,0.838881782400019,0.964363803200024,10.0,18.0
14,IL21+ Tfh,0.943832470879372,0.656329557885869,14.0,14.0
15,NME1+CCR4+,1.5722038520066,-1.29327926560746,18.0,5.0
16,CAPG+ Tm,1.21357419868608,-1.04129292624905,17.0,9.0
17,TNFRSF9- Treg,1.59454931117623,0.733538155992677,19.0,15.0
18,S1PR1+ Treg,1.20078015953913,-1.23488285827372,16.0,6.0
19,NME1+CCR4- ,1.64221518473632,1.2183730686782,21.0,21.0
20,TNFRSF9+ Treg,1.88872671860014,1.53935454218848,23.0,22.0
21,IFNG+ Th,1.59715318048718,1.78826681075357,20.0,23.0
22,ISG+ Th,1.00258991646074,-1.02948793458497,15.0,11.0
23,ISG+ Treg,1.75261423460704,1.20414851164873,22.0,20.0
